name,datatype,fieldName,desc
OSEBuildingID,number,seattlebuildingid,A unique identifier assigned to each property covered by the Seattle Benchmarking Ordinance for tracking and identification purposes.
DataYear,text,datayear,
BuildingType,text,buildingtype,City of Seattle building type classification.
PrimaryPropertyType,text,primarypropertytype,"The primary use of a property (e.g. office, retail store). Primary use is defined as a function that accounts for more than 50% of a property. This is the Property Type - EPA Calculated field from Portfolio Manager."
PropertyName,text,propertyname,Official or common property name.
TaxParcelIdentificationNumber,text,taxparcelidentificationnumber,"	
Property King County PIN"
Location,location,location,
CouncilDistrictCode,number,councildistrictcode,Property City of Seattle council district.
Neighborhood,text,neighborhood,
YearBuilt,number,yearbuilt,Year in which a property was constructed or underwent a complete renovation.
NumberofBuildings,number,numberofbuildings,
NumberofFloors,number,numberoffloors,
PropertyGFATotal,number,propertygfatotal,Total building and parking gross floor area.
PropertyGFAParking,number,propertygfaparking,"Total space in square feet of all types of parking (Fully Enclosed, Partially Enclosed, and Open)."
PropertyGFABuilding(s),number,propertygfabuilding_s,"Total floor space in square feet between the outside surfaces of a building’s enclosing walls. This includes all areas inside the building(s), such as tenant space, common areas, stairwells, basements, storage, etc."
ListOfAllPropertyUseTypes,text,listofallpropertyusetypes,
LargestPropertyUseType,text,largestpropertyusetype,
LargestPropertyUseTypeGFA,number,largestpropertyusetypegfa,
SecondLargestPropertyUseType,text,secondlargestpropertyusetype,
SecondLargestPropertyUseTypeGFA,number,secondlargestpropertyusetypegfa,
ThirdLargestPropertyUseType,text,thirdlargestpropertyusetype,
ThirdLargestPropertyUseTypeGFA,number,thirdlargestpropertyusetypegfa,
YearsENERGYSTARCertified,text,yearsenergystarcertified,
ENERGYSTARScore,number,energystarscore,"An EPA calculated 1-100 rating that assesses a property’s overall energy performance, based on national data to control for differences among climate, building uses, and operations. A score of 50 represents the national median."
SiteEUI(kBtu/sf),number,siteeui_kbtu_sf,"Site Energy Use Intensity (EUI) is a property's Site Energy Use divided by its gross floor area. Site Energy Use is the annual amount of all the energy consumed by the property on-site, as reported on utility bills. Site EUI is measured in thousands of British thermal units (kBtu) per square foot."
SiteEUIWN(kBtu/sf),number,siteeuiwn_kbtu_sf,"	
Weather Normalized (WN) Site Energy Use Intensity (EUI) is a property's WN Site Energy divided by its gross floor area (in square feet). WN Site Energy is the Site Energy Use the property would have consumed during 30-year average weather conditions. WN Site EUI is measured in measured in thousands of British thermal units (kBtu) per square foot."
SourceEUI(kBtu/sf),number,sourceeui_kbtu_sf,"Source Energy Use Intensity (EUI) is a property's Source Energy Use divided by its gross floor area. Source Energy Use is the annual energy used to operate the property, including losses from generation, transmission, & distribution. Source EUI is measured in thousands of British thermal units (kBtu) per square foot."
SourceEUIWN(kBtu/sf),number,sourceeuiwn_kbtu_sf,Weather Normalized (WN) Source Energy Use Intensity (EUI) is a property's WN Source Energy divided by its gross floor area. WN Source Energy is the Source Energy Use the property would have consumed during 30-year average weather conditions. WN Source EUI is measured in measured in thousands of British thermal units (kBtu) per square foot.
SiteEnergyUse(kBtu),number,siteenergyuse_kbtu,"	
The annual amount of energy consumed by the property from all sources of energy."
SiteEnergyUseWN(kBtu),number,siteenergyusewn_kbtu,
SteamUse(kBtu),number,steamuse_kbtu,"The annual amount of district steam consumed by the property on-site, measured in thousands of British thermal units (kBtu)."
Electricity(kWh),number,electricity_kwh,"	
The annual amount of electricity consumed by the property on-site, including electricity purchased from the grid and generated by onsite renewable systems, measured in kWh."
Electricity(kBtu),number,electricity_kbtu,"	
The annual amount of electricity consumed by the property on-site, including electricity purchased from the grid and generated by onsite renewable systems, measured in thousands of British thermal units (kBtu)."
NaturalGas(therms),number,naturalgas_therms,"The annual amount of utility-supplied natural gas consumed by the property, measured in therms."
NaturalGas(kBtu),number,naturalgas_kbtu,
OtherFuelUse(kBtu),number,otherfueluse_kbtu,
GHGEmissions(MetricTonsCO2e),number,ghgemissions_metrictonsco2e,"The total amount of greenhouse gas emissions, including carbon dioxide, methane, and nitrous oxide gases released into the atmosphere as a result of energy consumption at the property, measured in metric tons of carbon dioxide equivalent. This calculation uses a GHG emissions factor from Seattle CIty Light's portfolio of generating resources. This uses Seattle City Light's 2015 emissions factor of 52.44 lbs CO2e/MWh. Enwave steam factor = 170.17 lbs CO2e/MMBtu. Gas factor sourced from EPA Portfolio Manager = 53.11 kg CO2e/MBtu. "
GHGEmissionsIntensity(kgCO2e/ft2),number,ghgemissionsintensity_kgco2e_ft2,"	
Total Greenhouse Gas Emissions divided by property's gross floor area, measured in kilograms of carbon dioxide equivalent per square foot. This calculation uses a GHG emissions factor from Seattle City Light's portfolio of generating resources"
DefaultData,text,defaultdata,
Comment,text,comment,
ComplianceStatus,text,compliancestatus,
Outlier,text,outlier,
2010 Census Tracts,number,:@computed_region_2day_rhn5,
Seattle Police Department Micro Community Policing Plan Areas,number,:@computed_region_ru88_fbhk,
City Council Districts,number,:@computed_region_cyqu_gs94,
SPD Beats,number,:@computed_region_kuhn_3gp2,
Zip Codes,number,:@computed_region_q256_3sug,
